patientId,voornaam,achternaam,stad,provincie,postcode,straat,huisnummer,gender,telefoonnummer,email,toestemmingDigitaalPatientDossier
1,Pò,Escreet,Leeuwarden,Provincie Friesland,8934,Amoth,102,Agender,+31 868 558 3066,zescreet0@usnews.com,true
2,Maëlann,Jeannot,Bergen op Zoom,Provincie Noord-Brabant,4619,Florence,3,Female,+31 582 471 4740,ejeannot1@nps.gov,true
3,Méghane,Horrell,Apeldoorn,Provincie Gelderland,7319,Lyons,0,Male,+31 197 287 5835,mhorrell2@cargocollective.com,true
4,André,Skirling,Middelburg,Provincie Zeeland,4334,Porter,7056,Male,+31 217 728 4633,askirling3@intel.com,true
5,Aloïs,Laidlaw,Arnhem,Provincie Gelderland,6804,Lindbergh,04,Male,+31 901 103 4861,claidlaw4@google.pl,true
6,Céline,Paydon,Beverwijk,Provincie Noord-Holland,1944,Merry,472,Female,+31 611 575 0591,spaydon5@ovh.net,true
7,Andrée,Penrose,Delft,Provincie Zuid-Holland,2629,Columbus,9039,Male,+31 400 714 9329,lpenrose6@google.com,true
8,Régine,Wrightim,Leeuwarden,Provincie Friesland,8924,Nancy,2335,Male,+31 688 864 8409,mwrightim7@ehow.com,true
9,Yè,Dryden,Leeuwarden,Provincie Friesland,8924,Helena,9379,Female,+31 455 704 5567,fdryden8@hao123.com,true
10,Géraldine,Hundey,Wageningen,Provincie Gelderland,6709,Michigan,6,Female,+31 484 667 5911,hhundey9@sbwire.com,false
11,Gisèle,Tousy,Woerden,Provincie Utrecht,3449,Red Cloud,5,Male,+31 234 751 6974,ptousya@xrea.com,true
12,Personnalisée,Kloska,Zeewolde,Provincie Flevoland,3899,Darwin,2343,Female,+31 458 405 8945,vkloskab@reverbnation.com,true
13,Océane,Glisane,Arnhem,Provincie Gelderland,6814,Carioca,7142,Female,+31 440 110 5391,sglisanec@techcrunch.com,false
14,Håkan,Govini,Dongen,Provincie Noord-Brabant,5104,Manitowish,2,Male,+31 848 628 0368,mgovinid@wiley.com,true
