patientId,voornaam,achternaam,stad,provincie,postcode,straat,huisnummer,gender,telefoonnummer,email,toestemmingDigitaalPatientDossier
1,Yara,de Nijs,Papenhoven,Zeeland,9700IP,Tijnsteeg,333,Male,+31(0)28 1658993,jvan-dijk@example.net,False
2,Jesse,van Engelen,Tytsjerk,Flevoland,2111 PN,Bartweg,403,Female,+3106-7239127,nikkipons@example.org,True
3,Willem,Serra,Langezwaag,Groningen,4574 XE,Tessasingel,162,Male,(011) 2363887,hvan-engelen@example.com,False
4,Noa,Suijker,Zennewijnen,Zuid-Holland,1652 RY,Vajènsteeg,45,Non-binary,+31(0)52 6696264,vandenberghsven@example.net,False
5,Hailey,Janssens,Hiaure,Zuid-Holland,6490DG,Oliviahof,372,Female,073-5601036,rosalie75@example.com,False
6,Dion,van Enschot,Makkinga,Zeeland,4709TV,Imranbaan,95,Non-binary,+31037-993577,sofiavan-gent@example.net,False
7,Joris,Pierson,Genemuiden,Utrecht,4370DK,Samiboulevard,371,Male,(0543) 779695,van-dongenlois@example.com,True
8,Willem,Smit,Maria Hoop,Friesland,1740II,Aminapad,195,Female,+31(0)55-1879412,quintenpasman@example.com,True
9,Danique,van Hulten,Waarde,Noord-Holland,5585 LS,Loispad,452,Male,0624-644996,quinty10@example.net,False
10,Yasmin,Meijer,Almere,Zeeland,4844RN,Owenbaan,169,Female,+31396-440756,soosboris@example.net,True
11,Daphne,Moensendijk,Tjalleberd,Gelderland,5491 OF,Mohamedweg,368,Non-binary,+3146-6662766,wshupe@example.net,True
12,Aylin,Scardino,Boesingheliede,Drenthe,3914TC,Sennsingel,336,Male,011 2907763,westermannsjoerd@example.com,False
13,Sil,van Ginkel,Berkel en Rodenrijs,Utrecht,5550 FL,Boazpad,423,Male,(0439) 610228,mjacobs@example.com,False
14,Nynke,Schokman,Schipluiden,Zuid-Holland,5973 WN,Quinnlaan,476,Non-binary,+31(0)443-105763,le-grandliam@example.org,False
15,Lucas,Wilcken,Eenum,Zeeland,9744WN,Jurrestraat,118,Female,(017) 1279193,maasalexander@example.net,False
16,Femke,Willemsen,Ilpendam,Drenthe,3639 VQ,Josephinepad,127,Non-binary,0890 423902,angelinavan-den-nuwenhuijzen@example.org,False
17,Veerle,van den Bergh,Scheemda,Gelderland,8702 CW,Selenalaan,163,Non-binary,+3164-8754215,adelaarjohanna@example.org,False
18,Jari,Recers,Keijenborg,Utrecht,8099JQ,Evypad,335,Male,+3128-9548756,phillipsenthomas@example.net,True
19,Sem,Henric van den Nuwenhuse,Stevensweert,Groningen,7672 EU,Stefhof,224,Female,0318 508165,qchevresson@example.net,False
20,Justin,van Bernicia,Tilburg,Drenthe,5771FF,Laurendreef,268,Male,+31(0)84 2131878,rick18@example.com,True
21,Yusuf,de Smit,Terband,Flevoland,1793 OZ,Evyring,319,Female,097 1640443,nzijlemans@example.net,False
22,Tessa,Mulder,Zuna,Drenthe,5374TY,Ibrahimboulevard,475,Non-binary,+3161 5039237,mare47@example.net,False
23,Suus,Stamrood,Rasquert,Friesland,5008 LS,Tiesstraat,252,Female,+3109 7869520,brondermirthe@example.org,True
24,Nora,van den Henst,Warfstermolen,Noord-Brabant,2311ZN,Esilapad,86,Non-binary,+31(0)101-649913,esilader-kijnder@example.net,False
25,Thijs,Meijer,De Glind,Limburg,9414JP,Kyanboulevard,110,Male,+3191-3122814,de-haaslina@example.org,False
26,Anna,Perkins,Saaxumhuizen,Noord-Brabant,1788 NI,Beratlaan,361,Female,+31(0)036 375625,zmanne@example.com,False
27,Dina,Groenestein,Drunen,Friesland,2725XR,Juulbaan,434,Female,004 9941734,qgroote@example.org,False
28,Alicia,Martens,Uffelte,Noord-Holland,4501JF,Bibiweg,348,Female,0002 616205,fabianfrankhuizen@example.net,True
29,Jesper,Haack,Kinnum,Zeeland,1606 TS,Nynkestraat,133,Male,+3145 0490564,xvan-rooij@example.org,True
30,Livia,Zijlemans,Lucaswolde,Noord-Brabant,1926RH,Matthiasstraat,280,Male,(0256) 071167,uvan-henegouwen@example.net,False
31,Mirthe,Keltenie,Batenburg,Flevoland,2922TB,Ryansingel,105,Male,(022)-5330038,lulrich@example.org,False
32,Lenn,de Vroege,Breedenbroek,Overijssel,3752IC,Xavipad,118,Non-binary,+3181-7330478,julian65@example.com,False
33,Indy,Oosterhout,Lepelstraat,Noord-Holland,1977 UW,Evelienlaan,214,Non-binary,(033)-3903490,carlijnvan-der-klein@example.net,False
34,Noud,van de Weterink,Barchem,Flevoland,9141 YQ,Pimbaan,464,Female,0241-595049,helena66@example.com,True
35,Jake,van Ochten,Huisseling,Flevoland,7906 BW,Marastraat,422,Non-binary,0008-859555,lvan-luin@example.net,True
36,Lizz,van Kusen,Stiens,Noord-Brabant,4536TZ,Ivansingel,173,Male,+3130 4193503,de-bruinbrent@example.org,True
37,Rafael,Lamore,Kortenhoef,Zeeland,8677VH,Miaboulevard,67,Female,+31(0)66-8377014,gvan-laon@example.net,True
38,Sami,Bud,Kring van Dorth,Friesland,1665 NK,Lunaboulevard,282,Female,+31913 976874,de-koninghannah@example.com,False
39,Owen,Schwartsbach,Wijk bij Duurstede,Gelderland,7694SV,Robinstraat,252,Non-binary,+31(0)53 1302485,marit83@example.net,False
40,Boris,Wigman,Waskemeer,Limburg,8628 OX,Dirklaan,71,Male,+31(0)39-1447495,meyerjosephine@example.org,True
41,Ashley,de Koning,Donderen,Friesland,8020DY,Vajènsingel,3,Non-binary,+3167 0034452,le-lucvictor@example.net,False
42,Julia,Wever,Nieuwebrug,Limburg,5759WY,Kaipad,353,Male,+31739-341591,jelte28@example.org,False
43,Owen,Klein,Wolphaartsdijk,Zuid-Holland,6750 RG,Tijsstraat,219,Non-binary,0466 853369,totwillerkeano@example.com,True
